Material	Descrição do item	Código NCM	Preço R$
4971	PARAFUSO SEXTAVADO INTERNO M5X20MM INOX	7318.16.00	R$ 0,32
9747	PARAFUSO,CAB QUAD	7616.10.00	R$ 0,00
9260	PARALAMA VW TRAÇÃO WORKER/CONSTEL MEIO DIANT	8708.29.91	R$ 0,00
4972	PARA-RAIOS DISTRIBUIÇÃO 12kV-10kA  S/SUPORTE L - YIKUN	8535.40.10	R$ 50,00
3759	PARA-RAIOS DISTRIBUIÇÃO 12kV-10kA C/SUPORTE L	8535.40.10	R$ 46,79
3760	PARA-RAIOS DISTRIBUIÇÃO 12kV-10kA S/ SUPORTE L - HENGDA	8535.40.10	R$ 34,00
5059	PARA-RAIOS DISTRIBUIÇÃO 12kV-10kA S/ SUPORTE L C/CAPA DE PROTEÇÃO	8535.40.10	R$ 68,12
3758	PARA-RAIOS DISTRIBUIÇÃO 30kV-10kA C/SUPORTE L	8535.40.10	R$ 0,00
4973	PARA-RAIOS DISTRIBUIÇÃO 30kV-10kA S/SUPORTE L	8535.40.10	R$ 0,00
8502	PASSA FIO C/ ALMA DE ACO 30MTS	3917.29.00	R$ 25,27
9907	PASTA CATÁLOGO C/ 50 PLÁSTICOS	4202.12.10	R$ 22,90
8690	PASTA EM L OF	4202.12.10	R$ 9,53
3964	PASTA P/ SOLDA TUBO 110G.	9405.10.99	R$ 11,45
6562	PASTA PLÁSTICA C/ CANALETA MODELO A4	4202.12.10	R$ 1,65
9681	PASTA PLASTICA PRETA	4202.12.10	R$ 10,00
3989	PASTA PLÁSTICA TRANSPARENTE C/ ELÁSTICO 4CM	4202.12.10	R$ 3,90
3993	PASTA PLÁSTICA TRANSPARENTE MODELO L A4 FINA (Tipo envelope)	4202.12.10	R$ 10,97
4839	PASTA POLIONDA TAMANHO A3 S/ALÇA ALTURA 2CM	5601.22.19	R$ 7,95
4019	PASTA REGISTRO OF LARGA ECONOMICA	4820.30.00	R$ 10,99
8293	PASTA SANFONADA A4	3926.10.00	R$ 25,00
9684	PASTA SANFONADA PEQUENA	3926.10.00	R$ 12,50
9599	PASTA SUSPENSA	4820.90.00	R$ 3,00
3997	PASTA SUSPENSA MARMORIZADA CASTANHA	4202.12.10	R$ 1,94
6554	PASTILHA DE HIPOCLORITO DE CÁLCIO A 40%	2828.10.00	R$ 1,58
10527	PATCH CORD CAT6 AMARELO	8544.42.00	R$ 34,20
11187	PATCH CORD RJ-45 CAT-6 AMARELO 2M	8544.42.00	R$ 0,00
8156	PCBA Barramento Caixa - Pantheon	8538.10.00	R$ 1.268,81
8158	PCBA módulo de medição - Pantheon - MM	9028.90.10	R$ 411,72
10432	PDE 19 3U 10X10A	8537.10.90	R$ 476,02
10433	PDE 19 3U 10X10A	8537.10.90	R$ 476,02
11209	PDE 19" 3U 10X10A WEG CPRT T25MM2	8537.10.90	R$ 0,00
10431	PDU 10 3U 10X10A WEG CPRT	8537.10.90	R$ 0,00
8208	PE DE CABRA	8201.30.00	R$ 18,00
5824	PÉ DE CABRA EM AÇO 600X29X15 MM	8462.10.19	R$ 29,00
8755	PE DE ESCADA 30X70 G EXT BORRACHA	4016.93.00	R$ 5,34
8838	PEA PLSTICA FRONTAL MONTADA, CONTENDO VISOR E SISTEMA DE (cont. 1)  DE ELETRICIDADE.	9028.90.10	R$ 0,00
5828	PEDESTAL ZEBRADO	3926.90.90	R$ 0,00
8611	PEDRA SANITÁRIA	3402.20.00	R$ 2,10
9353	PEGA BOBINA 3 TON C/ CORRENTE	3923.40.00	R$ 450,00
10368	PEGADOR DE BOBINA CAPACIDADE DE CARGA ATE 3 TON	8428.39.90	R$ 492,00
8384	PELÍCULA DE PROTEÇÃO CONTRA RAIOS SOLARES	3920.43.90	R$ 0,00
10277	PELICULA PARA CELULAR SMARTPHONE	8517.12.32	R$ 0,00
10082	PELICULA SAMSUNG TAB A T295	3920.20.19	R$ 0,00
4015	PEN DRIVE 16 GB	8523.51.90	R$ 38,00
9718	PEN DRIVE 32 GB	8523.51.90	R$ 38,10
8689	PERFIL F. CANTONEIRA 1"X1/8"	7216.21.00	R$ 4,81
9809	PERFURADOR DE PAPEL 2 FUROS P/20 FOLHAS	8472.90.40	R$ 19,92
9028	PERNEIRA - PROTEÇÃO PARA AS PERNAS	4201.00.10	R$ 20,00
4926	PETCH PHENIO C/24 JANELAS	8517.70.99	R$ 213,00
9500	PICADEIRA DE SOLDA (MARTELO PICADOR)	8205.20.00	R$ 43,00
9863	PICOLÉ	2105.00.90	R$ 219,95
9962	picolé	2105.00.10	R$ 196,54
10160	PILHA ALCALINA AA C/2	8506.10.10	R$ 0,00
3992	PILHA ALCALINA AAA 1.5V (PALITO)	8506.10.10	R$ 7,49
4504	PILHA ALCALINA RECARREGAVEL AA MODELO 2300mAh	8506.10.20	R$ 31,25
3991	PILHA ALCALINA RECARREGÁVEL AAA2 1.2V	8507.50.00	R$ 14,49
9731	PILHA PARA AMPERIMETRO ET3901	8507.50.00	R$ 18,00
4761	PILHA PEQUENA ALCALINA MODELO AA 1.5V	8506.10.10	R$ 6,25
10406	PINCEL 1,5"	9603.30.00	R$ 4,35
10407	PINCEL 2"	9603.30.00	R$ 5,81
10408	PINCEL 2,5"	9603.30.00	R$ 7,34
5133	PINCEL ATOMICO AZUL 1100P		R$ 1,99
7273	PINCEL ATOMICO VERMELHO 1100P		R$ 1,99
8036	PINCEL SEDA 1''	9603.30.00	R$ 2,06
9499	PINGADEIRA DE OLEO C/ FUNIL	8479.89.99	R$ 684,00
8910	PINO BANANA PB084 AMARELO	8536.90.90	R$ 6,50
8911	PINO BANANA PB084 AZUL	8536.90.90	R$ 3,13
8912	PINO BANANA PB084 PRETO	8536.90.90	R$ 6,22
8441	PINO BANANA PB084 VERMELHO	8536.90.90	R$ 1,92
10144	PINO BRAÇO DIREÇÃO	7318.29.00	R$ 0,00
10273	PINO DE TAMPA DE CARRETA	7318.15.00	R$ 0,00
10149	PINO GRAXEIRO	7318.19.00	R$ 0,00
10120	PINO REI	7318.15.00	R$ 0,00
9940	PINTURA SOLIDA	8704.31.90	R$ 708,55
9131	PISO METALICO PARA FACHADEIRO	7308.40.00	R$ 235,20
10293	PISO MICRODURO PASTILHADO	6406.20.00	R$ 0,00
10294	PISO MICRODURO PASTILHADO	6406.20.00	R$ 5,50
9802	PISTOLA DE COLA QUENTE 40W	8424.20.00	R$ 52,00
9524	PISTOLA PNEUMATICA 1/2	8467.92.00	R$ 490,00
9523	PISTOLA PNEUMATICA 1¨X 5 PESADO	8467.92.00	R$ 1.880,00
9146	PLACA AVISO ACESSO RESTRITO 20x30CM PVC 1MM ADESIVADO	8310.00.00	R$ 0,00
8767	PLACA AVISO ÁREA RESTRITA 21x30CM PVC 2MM ADESIVADO	8310.00.00	R$ 0,00
8769	PLACA BANHEIRO FEMININO 15x21CM PVC 2MM ADESIVADO	8310.00.00	R$ 0,00
8770	PLACA BANHEIRO MASCULINO 15x21CM PVC 2MM ADESIVADO	8310.00.00	R$ 0,00
8067	PLACA CARGA E DESCARGA DE MATERIAIS	8310.00.00	R$ 0,00
7895	PLACA DE ACRÍLICO 4MM CRISTAL	3920.51.00	R$ 0,00
8504	PLACA DE CIRCUITO ELETRÔNICO	8517.61.99	R$ 0,00
7132	PLACA DE ESTAC. C/ GANCHO P/ RETROVISOR-PVC 3MM	4911.99.00	R$ 0,00
9328	PLACA DE PASSAGEM DE PEDESTRE	3903.11.20	R$ 35,00
9180	PLACA DE PROIBIDO PARAR E ESTACIONAR	9405.60.00	R$ 0,00
3888	PLACA DE PVC PARA FIXAÇÃO (CONCENTRADOR PRIMÁRIO)	8538.10.00	R$ 0,00
5876	PLACA DE PVC PARA FIXAÇÃO (CONCENTRADOR SECUNDÁRIO	8538.10.00	R$ 0,00
9179	PLACA DE RISCO DE CHOQUE ELÉTRICO	9405.60.00	R$ 0,00
9642	Placa de Sinalização para Extintor AP	8310.00.00	R$ 15,00
9233	Placa de Sinalização para Extintor CO2	8310.00.00	R$ 20,00
9234	Placa de Sinalização para Extintor PQS	8310.00.00	R$ 20,00
8068	PLACA DEVAGAR TRÂNSITO DE PEDESTRES	8310.00.00	R$ 0,00
4230	PLACA DO MÓDULO RF MODELO RC915-P 127V	8517.62.72	R$ 89,61
3562	PLACA ELETRÔNICA (P/FABRICAÇÃO DO DISPLAY CAM 127V)	8517.61.99	R$ 0,00
8063	PLACA ESTACIONAMENTO REGULAMENTADO	8310.00.00	R$ 0,00
8890	PLACA EXTINTOR DE ÁGUA EM PVC 20 x 20 CM	3919.90.90	R$ 11,15
8889	PLACA EXTINTOR DE CO2 EM PVC 20 x 20 CM	3919.90.90	R$ 11,15
8774	PLACA EXTINTOR DE INCÊNDIO 15x21CM PVC 2MM ADESIVADO	8310.00.00	R$ 0,00
8888	PLACA EXTINTOR DE PÓ ABC EM PVC 20 x 20 CM	3919.90.90	R$ 11,15
8069	PLACA FAVOR ESTACIONAR DE RÉ	8310.00.00	R$ 0,00
7899	PLACA LISA DE ALUMÍNIO DE 2000 X 1000 X 2.0	7325.99.90	R$ 0,00
7900	PLACA LISA DE ALUMÍNIO DE 2MM X 720MM X 230MM	7325.99.90	R$ 0,00
6398	PLACA MÃE DE MÓDULO DE CONTROLE JDC02HD 240V	8473.30.41	R$ 0,00
8766	PLACA PROIBIDO FUMAR 21x30CM PVC 2MM ADESIVADO	8310.00.00	R$ 0,00
8873	PLACA PVC FOTOLUMINESCENTE CO2 23X16	8310.00.00	R$ 10,00
8452	PLACA PVC FOTOLUMINESCENTE SAÍDA PÓ	4911.10.90	R$ 10,00
8387	PLACA RISCO DE CHOQUE - CHAPA PS 2MM	4911.10.10	R$ 0,00
8768	PLACA RISCO DE CHOQUE ELÉTRICO 20x30CM PVC 1MM ADESIVADO	8310.00.00	R$ 0,00
9246	PLACA RISCO DE CHOQUE ELÉTRICO 40x40cm PVC 2MM	9405.60.00	R$ 0,00
8765	PLACA ROTA DE FUGA 21x15CM PVC 2MM ADESIVADO	8310.00.00	R$ 0,00
8450	PLACA SAÍDA BONECO E SETA DIREITA PVC FOTOLUMINESCENTE	4911.10.90	R$ 10,00
8449	PLACA SAÍDA BONECO E SETA ESQUERDA PVC FOTOLUMINESCENTE	4911.10.90	R$ 10,00
8451	PLACA SAÍDA DE EMERGÊNCIA 23X16 PVC FOTOLUMINESCENTE	4911.10.90	R$ 10,00
8064	PLACA SENTIDO PROIBIDO	8310.00.00	R$ 0,00
9694	PLACA SINAL. AMARELA FIBRA VIDRO "NÃO LIGAR, HOMENS NA LINHA"	8310.00.00	R$ 28,00
9956	PLACA SINALIZAÇÃO "ATENÇÃO NÃO OPERE ESTE EQUIPAMENTO"	3903.11.20	R$ 0,00
8773	PLACA USO OBRIGATÓRIO DE BOTAS 21x30CM PVC 2MM ADESIVADO	8310.00.00	R$ 0,00
8772	PLACA USO OBRIGATÓRIO DE CAPACETE 21x30CM PVC 2MM ADESIVADO	8310.00.00	R$ 0,00
8775	PLACA USO OBRIGATÓRIO DE EPI'S 21x30CM PVC 2MM ADESIVADO	8310.00.00	R$ 0,00
8771	PLACA USO OBRIGATÓRIO DE LUVAS 21x30CM PVC 2MM ADESIVADO	8310.00.00	R$ 0,00
8060	PLACA VELOCIDADE MÁXIMA PERMITIDA - 20 KM/H	8310.00.00	R$ 0,00
8065	PLACA VIRE A DIREITA	8310.00.00	R$ 0,00
8066	PLACA VIRE A ESQUERDA	8310.00.00	R$ 0,00
10517	PLAQUETA IDENTIF P/CABO OPTICO 6X10 CM	8544.70.10	R$ 1,60
11188	PLAQUETA IDENTIF. P/CABO OPTICO 6X10 CM	8544.70.10	R$ 0,00
8831	PLAQUINHA DE PATRIMONIO 4,6 CM X 1,5 CM	8310.00.00	R$ 0,49
8599	PLÁSTICO POLASEAL 220X307X005 (100 UNIDADES)		R$ 0,00
9864	PLATAFORMA ARTICULADA DIESEL 450AJ	8428.20.90	R$ 190.000,00
9717	PLATAFORMA ELEVATORIA TESOURA	8427.10.90	R$ 0,00
9658	PLATAFORMA MARCA JLG 2630ES SERIE:0200.149681	8427.10.90	R$ 30.000,00
3892	PLUG 485 DE CONTROLE	8544.42.00	R$ 1,65
3893	PLUG 485 DE RF	8544.42.00	R$ 1,57
6760	PLUG BANANA P/ FIO 4MM - PRETO	9030.90.90	R$ 0,00
6759	PLUG BANANA P/ FIO 4MM - VERMELHO	9030.90.90	R$ 0,00
8444	PLUG MODULAR RJ11 6 X 4	8536.69.90	R$ 0,86
8548	PLUG P4 MACHO BORNE - CARTELA 5PCS - FS 503	8536.90.90	R$ 1,82
6650	PLUG-IN DE CONEXÃO S/ CIGARREIRA (CABO DE 3M)	8544.49.00	R$ 0,00
8894	PLUGUE TOMADA MACHO 2P 180º BRANCO 10A/250V WEG	8536.69.10	R$ 1,69
8634	PNEU - MODELO 100/20 X 275 - REFORMADO		R$ 0,00
8586	PNEU 250X15X7 EMPILHADEIRA	4012.90.90	R$ 1.128,28
10423	PNEU 275/80 22.5 - BORRACHUDO	4011.20.90	R$ 2.090,00
10422	PNEU 275/80 22.5 - LISO	4011.20.90	R$ 2.090,00
8682	PNEU 275/80 R22.5	4011.20.90	R$ 2.035,00
9340	PNEU 295/ 80- PNEU USADO	4012.12.00	R$ 0,00
10425	PNEU 295/80 22.5 - BORRACHUDO	4011.20.90	R$ 2.390,00
10424	PNEU 295/80 22.5 - LISO	4011.20.90	R$ 2.550,00
10316	PNEU 6.00 X 9 SÓLIDO PRETO KOMBAT STANDARD	4011.10.00	R$ 648,69
10317	PNEU 7.00 X 12 SOLIDO PRETO KOMBAT STANDARD	4011.10.00	R$ 1.042,51
9620	PNEU MACIÇO 700 X 12 - PARA EMPILHADEIRA	4012.90.90	R$ 850,00
9427	PNEU MACIÇO NEW FRONT MED 600x9	4012.90.90	R$ 520,00
6633	PODÃO ARCOS (P/ PODAR ÁRVORES)	8202.10.00	R$ 61,20
10025	PONTA DE PROVA ESPECIAL PARA HI-POT	9030.90.90	R$ 22,00
3677	PONTA DE PROVA P/ MULTÍMETRO, REF MTL-01	9030.90.90	R$ 22,00
5585	PONTEIRA 25MM, PE, 500KG G S 5/16, FIV CATRACA 0,20 MT	5806.32.00	R$ 14,00
9749	PONTEIRA ALONGADA PZ3 1/4X3X100 - PONTA POZIDRIV * IMED	9030.90.90	R$ 5,90
5583	PONTEIRA AMARRAÇÃO 3TON X 30CM - BRANCO - GANCHO J	5806.32.00	R$ 46,00
10119	PONTEIRA DIREÇÃO	8708.94.92	R$ 0,00
5185	PONTEIRA ISOLADA P/ VARA DE MANOBRA	7419.99.90	R$ 42,00
9732	PONTEIRA PARA AMPERIMETRO ET3901	9030.90.90	R$ 35,00
9899	PONTEIRO COM EMPUNHADURA	8205.59.00	R$ 45,00
10278	PONTEIRO SEXTAVADO 14"	8207.90.00	R$ 45,00
9046	PONTUVA	8708.50.99	R$ 1.180,00
10147	PORCA	7318.16.00	R$ 0,00
11189	PORCA GAIOLA M5	7318.16.00	R$ 0,00
10590	PORCA GAIOLA M5 NIQUELADO	7318.16.00	R$ 0,50
3897	PORCA M3 - SWITCH	7318.16.00	R$ 0,03
3898	PORCA M5	7318.16.00	R$ 0,05
9178	PORCA MULTIUSO NIQ RODODOAR/BUZIN	7415.33.00	R$ 0,00
11166	PORCA SEXT ALTA 5/16 GALV ELETR	7318.16.00	R$ 0,00
11230	PORCA SEXT NC 1 4	7318.16.00	R$ 0,00
10578	PORCA SEXT NC 1 4	7318.16.00	R$ 17,70
9143	PORTA BANNER COM GARRAS 2,20M TRIPE SUPORTE ALUMINIO	9620.00.00	R$ 139,90
4009	PORTA CARTÕES COURVIN P/ 80 UNIDADES	4202.12.10	R$ 5,35
9908	PORTA CLIPES	3926.10.00	R$ 7,90
7300	PORTA CORTA FOGO 900X2090MM CL. P60	7308.30.00	R$ 0,00
9058	PORTA CRACHÁ	4202.32.00	R$ 0,00
8395	PORTA DOCUMENTOS VERTICAL PRETO	3926.10.00	R$ 0,00
9490	PORTA ELETRODO 300 AMP	8311.10.00	R$ 33,00
10292	PORTA ESCADA	8302.42.00	R$ 0,00
8801	PORTA FOLDER ACRÍLICO A3	3920.51.00	R$ 54,75
8800	PORTA FOLDER ACRÍLICO A4	3920.51.00	R$ 23,23
4585	PORTA FOLDER ACRÍLICO C/BOLSA NO FORMATO A3 ESPESSURA 3MM	3920.51.00	R$ 59,90
5068	PORTA FUSÍVEL	8538.90.90	R$ 24,92
6656	PORTA FUSIVEL C/ RABICHO	8536.90.30	R$ 1,50
9806	PORTA LÁPIS DUPLO	3926.10.00	R$ 16,35
8396	PORTA PALETES	7308.90.90	R$ 135,00
8357	POSTE DE CONCRETO 7 METROS	6810.19.00	R$ 0,00
9725	POSTE FINAL PARA TRILHO DIN CINZA	8536.90.40	R$ 3,30
9223	POWER MONITOR	8537.10.30	R$ 0,00
8968	PRANCHA DE POLIETILENO	8713.90.00	R$ 363,01
9120	PRANCHAO MADEIRA 30X300X1000MM	4407.99.90	R$ 28,00
9121	PRANCHAO MADEIRA 30X300X1750MM	4413.00.00	R$ 56,00
5501	PRANCHETA (DURATEX)	3926.10.00	R$ 5,00
10092	PRANCHETA DE ACRÍLICO	3926.10.00	R$ 0,00
8118	PRATELEIRA DE FERRO	9403.10.00	R$ 0,00
8654	PREGO 17 X 21 C/ CABEÇA	7317.00.90	R$ 25,61
3965	PREGO C/ CABEÇA 16 X 24	7415.10.00	R$ 7,58
4764	PREGO C/ CABEÇA 17 X 27	7415.10.00	R$ 6,81
9695	PRENDEDOR EM NYLON P/ LENÇOL ISOLANTE	8305.90.00	R$ 4,00
11135	PRENSA CABO PA CZ BSP 1' 18-25MM S854CI	3917.40.90	R$ 0,00
10545	PRENSA CABO PA CZ BSP 1 18-25MM S854CI	3917.40.90	R$ 6,86
8124	PRENSA CABO PRETO REDONDO 1" BSP	3917.40.90	R$ 5,96
8129	PRENSA CABO PRETO REDONDO 3/4 BSP	3917.40.90	R$ 4,00
9519	PRENSA HIDRAULICA 30 TON	8462.91.19	R$ 2.689,00
11256	PRENSA-CABO ROSQ. MONO 1/2 C/ CONTRA PORCA	3917.40.90	R$ 0,00
3900	PRENSA-CABO ROSQUEADO P/CABO 13-18MM REF.PM-1749 I2	3917.40.90	R$ 1,43
9067	PRESILHA - FIVELA PLÁSTICA 13MM (C/1000)	8308.90.10	R$ 0,00
8457	PRESSOSTATO EOS BAIXA 2.4 A 4.1 BAR (34.8/595 PSI)	9032.20.00	R$ 39,90
8553	PROD ACAB 20KG ONU 1075 GLP 21 VD	2711.19.10	R$ 104,60
8613	PRODUTO DE ACRÍLICO - SOB MEDIDA	3920.51.00	R$ 51,00
8501	PROGRAMADOR DE HORARIO DIGITAL 16A 250VCA	9106.90.00	R$ 159,28
8162	PROJETOR EPSON POWERLITE X39	8528.61.00	R$ 0,00
6797	PROJETOR SUPER LED 100W LUZ BRANCA - (P/ USO EXTERNO)	9405.40.10	R$ 107,60
9465	PROPULSORA PNEUMATICA 50 KGS	8479.89.99	R$ 2.318,00
3621	PROTET.FACIAL,VISOR VERDE,REF218295-EPI	6506.10.00	R$ 128,00
3623	PROTET/BLOQUEADOR SOLAR REF.FPS 30 120G	3304.99.90	R$ 11,00
3622	PROTET/BLOQUEADOR SOLAR REF.FPS 58-EPI	3304.99.90	R$ 0,00
7233	PROTET/BLOQUEADOR SOLAR REF.FPS 60-EPI	3304.99.90	R$ 19,50
9867	PROTETOR AUDITIVO TIPO CONCHA	3926.90.90	R$ 30,90
3624	PROTETOR AURICULAR C/3 ESCAMAS-SILICONE-EPI	4015.90.00	R$ 2,40
9324	PROTETOR AURICULAR PLUG 3M 1110 C/C CEST: 28.057.00	3926.90.90	R$ 1,00
9439	PROTETOR FACIAL ABA TOTAL AS 2349HAT -8C	3926.90.90	R$ 0,00
3625	PROTETOR FACIAL ACRÍLICO C/ ARN.INCOLOR-EPI	3926.90.90	R$ 32,00
8164	PROTETOR FACIAL ARCO ELÉTRICO V-GARD 190 ARC PLUS COMPLETO	3926.90.90	R$ 670,04
3564	PROTETOR FACIAL INCOLOR	3926.90.90	R$ 670,04
6405	PROTETOR LABIAL FPS 35, BASTÃO 5GR	3304.99.90	R$ 0,00
9842	PROTETOR SOLAR 120ML FPS 30	3304.99.90	R$ 10,40
8743	PROTETOR SOLAR 120ML FPS 60	3304.99.90	R$ 18,00
3679	PUNÇÃO DE AÇO DE 6 X 150 MM	8205.59.00	R$ 6,20
4588	PUNÇÃO DE AÇO ISOLADA 6X150MM	8205.59.00	R$ 38,00
11195	PURIFICADOR ÁGUA CONSUL COMPACTO BRANCO CPC31AB	8421.21.00	R$ 0,00
9486	QD P/ FERRAMENTAS 970X16X970X50 C/ KIT 46 GRAMPOS E SUPORTES	8716.90.90	R$ 710,00
9157	QUADRO BRANCO MAGNÉTICO 120x90	9610.00.00	R$ 73,00
7354	QUADRO BRANCO MAGNÉTICO 90X60	9610.00.00	R$ 111,30
8833	QUADRO CORTIÇA 090 X 060	4421.99.00	R$ 50,95
9044	QUADRO DE AVISO 150 X 120 CM	4421.99.00	R$ 0,00
9554	QUADRO DE AVISOS ALUMINIO C/ VIDRO 60X90CM	4421.99.00	R$ 452,00
8255	QUADRO DE DISJUNTORES PARA 12 POSIÇÕES	8537.10.90	R$ 30,55
8862	QUADRO DE DISTRIBUIÇÃO 16 DISJ REF.: 7033 GOMES	8537.10.90	R$ 392,70
8397	QUADRO DE VIDRO (ALVARÁ)	7009.92.00	R$ 120,00
8267	QUADRO DIST SOB 03/04 DISJ. PORTA BCA.S/BAR	8538.10.00	R$ 39,61
10251	QUADRO LOUSA DE VIDRO 60X90CM	9610.00.00	R$ 463,98
8257	QUADRO PARA 24 POSIÇÕES TRIFÁSICO 150A	8537.10.90	R$ 299,84
8258	QUADRO PARA 56 DISJUNTORES TRIFÁSICO 225A	8537.10.90	R$ 0,00
8334	QUADRO PARA 56 DISJUNTORES TRIFÁSICO 225A DE EMBUTIR	8537.10.90	R$ 676,32
9671	QUADRO SOB S/B NT S/PTA 1-2 DIN STECK	8538.10.00	R$ 5,52
10093	RACK DE REDE PAREDE 8u X 470mm DESMONTAVEL C/ FUNDO	8517.70.91	R$ 599,00
7908	RACK ORGANIZADOR HD E ANALOG SATURNO 32 CANAIS ONIX SECURITY	8517.70.91	R$ 0,00
10659	Rádio PX 40 Canais (RP-40)	8517.12.11	R$ 0,00
9256	RAID ELÉTRICO LÍQUIDO (REFIL) CAIXINHA C/02	3808.91.19	R$ 12,00
8206	RASTELO	8201.30.00	R$ 0,00
8821	RASTELO PLÁSTICO C/CABO (VASSOURA P/JARDIM)	3924.90.00	R$ 23,50
8970	REANIMADOR MANUAL (TIPO AMBU) ADULTO EM SILICONE	9019.20.30	R$ 229,90
4291	REATOR ELET. HO DUPLO ALTO FATOR 2X 110W 220V	8504.10.00	R$ 58,00
4996	REATOR ELET. RE220S-P BIVOLT 127/220V	8504.10.00	R$ 13,87
3967	REATOR PARTIDA RAPIDA 2 X 32W BIVOLT	8504.10.00	R$ 0,00
3968	REATOR PARTIDA RÁPIDA 2 X 40W BIVOLT	8504.10.00	R$ 0,00
9230	REBITADEIRA	8203.20.10	R$ 45,00
9231	REBITE	7318.23.00	R$ 0,15
5518	RECEPTÁCULO PARA LÂMPADA	9999.99.99	R$ 1,85
8537	RECEPTORA 1 CANAL DETEC.MIC. POR RF RRC-100 V3	8517.62.99	R$ 72,60
6461	RECIBO PAG. LAB 02 2VIAS C/ BLOQ. C/ 2000	4820.40.00	R$ 1,35
6289	RECOLHEDOR DE FITA DE SINALIZAÇÃO DE ALUMINIO	7604.29.20	R$ 65,00
9194	REFIL DE BORRACHA DE RODO 35 CM	9603.90.00	R$ 4,99
9197	REFIL DE LAVA VIDRO LÃ COMBINADO 35CM	9603.90.00	R$ 12,99
9091	REFIL DE MOP PÓ NOBRE 40 CM	9603.90.00	R$ 0,00
9090	REFIL DE MOP PÓ NOBRE 60 CM	9603.90.00	R$ 39,99
9153	REFIL DE TINTA COLORIDA AMARELA IMPRESSORA EPSON L395	9603.90.00	R$ 29,90
9154	REFIL DE TINTA COLORIDA AZUL IMPRESSORA EPSON L395	9603.90.00	R$ 93,90
7952	REFIL DE TINTA COLORIDA CIANO IMPRESSORA EPSON L805	3215.19.00	R$ 54,60
7961	REFIL DE TINTA COLORIDA CIANO LIGTH IMPRESSORA EPSON L805	3215.19.00	R$ 54,60
7959	REFIL DE TINTA COLORIDA MAGENTA IMPRESSORA EPSON L805	3215.19.00	R$ 54,60
7960	REFIL DE TINTA COLORIDA MAGENTA LIGTH IMPRESSORA EPSON L805	3215.19.00	R$ 54,60
9155	REFIL DE TINTA COLORIDA ROSA IMPRESSORA EPSON L395	9603.90.00	R$ 29,90
7962	REFIL DE TINTA COLORIDA YELLOW IMPRESSORA EPSON L805	3215.19.00	R$ 54,60
7881	REFIL DE TINTA PRETA IMPRESSORA EPSON L805	3215.19.00	R$ 61,90
8710	REFIL MOP UMIDO PONTA CORTADA	9603.90.00	R$ 26,27
9195	REFIL RODO 100 CM	9603.90.00	R$ 10,99
9198	REFIL RODO 60 CM	9603.90.00	R$ 5,99
8946	REFIL WFS 012 BEBEDOURO LIBELL	8421.21.00	R$ 0,00
8358	REFLETOR DE LED	9405.40.90	R$ 69,00
8649	REFLETOR PRETO SUPER LED 100W 6000K BIVOLT	9405.10.93	R$ 82,62
8383	REGISTRADOR ELETRONICO UNIVERSAL DE GRAN	9030.39.90	R$ 0,00
9218	REGISTRADOR ELETRONICO UNIVERSAL DE GRAN	9030.39.90	R$ 0,00
9796	REGUA ALUMINIO MEDIR TANQUE COMBUSTIVEL 4 MTS S/VALVULA	9026.10.29	R$ 182,90
3903	REGUA FIXAÇÃO C/PARAFUSO FURO P/ LACRE E SUPORTE SWITCH	8538.90.90	R$ 27,03
3819	REGUA PLÁSTICA TRANSPARENTE  30CM	3926.10.00	R$ 1,39
8283	RELOGIO DE PONTO	9106.10.00	R$ 570,00
9016	RELOGIO TERMO HIGROMETRO DIGITAL MT 242-A MINIPA	9025.80.00	R$ 117,64
8641	REMOVEDOR - 1L	3402.90.90	R$ 8,80
7660	REMOVEDOR DE GRAMPO PLÁSTIVO 29X7 MM ( PÉ DE CABRA)	8205.59.00	R$ 0,00
9788	REPELENTE CONTRA INSETOS	3808.91.99	R$ 18,00
8736	RESERVATÓRIO P/ DISPENSER DE SABONETE LIQ. 800ML	3922.90.00	R$ 8,99
9019	RESERVATÓRIO PARA AMBU ADULTO	9019.20.20	R$ 61,49
6510	RESISTOR 1,2 SMD - R14/R15	8541.40.26	R$ 0,00
6509	RESISTOR 820 SMD P/ PLACA DE CIRCUITO IMPRESSO - R76	8541.40.26	R$ 0,00
6508	RESISTOR 820 SMD P/ PLACA DE CIRCUITO IMPRESSO - R77	8541.40.26	R$ 0,00
9318	RESPIRADOR 3M SEMI-FAC ELASTOM MD 6200 H0002317255	9020.00.10	R$ 81,10
8416	RESPIRADOR VALVULADO 3M AURA 9332+BR PFF3	6307.90.10	R$ 1,30
10131	RETENTOR DE RODA	4016.93.00	R$ 0,00
10138	RETENTOR DE VALVULA	4016.93.00	R$ 0,00
10116	REVESTIMENTO DO RADIADOR	4016.93.00	R$ 0,00
8413	RIBBON CERA	9612.10.19	R$ 23,80
10233	RIBBON CERA 110 MM X 300M	9612.10.19	R$ 22,80
9304	RIBBON CERA 110 MM X 74 M	9612.10.19	R$ 13,00
7703	ROÇADEIRA A GASOLINA 2T 24,5CC EM2500 UG	8467.89.00	R$ 0,00
8908	ROÇADEIRA A GASOLINA FS80 STHIL	8467.89.00	R$ 1.159,00
9680	RODA MACIÇA 6.00 X 9 FR PRETO	8708.70.10	R$ 1.050,00
